"","LEP","UHY","site","year"
"135",0.260588583047,NA,"ER38",2006
"136",0.281194889588,NA,"ER38",2007
"137",-0.00253578071801,NA,"ER38",2008
"138",NA,NA,"ER38",2009
"139",NA,NA,"ER38",2010
"140",NA,NA,"ER38",2011
"141",NA,NA,"ER38",2012
"142",NA,NA,"ER38",2013
"143",0.056744673631,0.680691549799,"ER42",1998
"144",0.707423644979,NA,"ER42",1999
"145",0.128779740545,0.0799429888474,"ER42",2000
"146",-0.140725468532,4.02810074798,"ER42",2001
"147",0.0209375,NA,"ER42",2002
"148",NA,NA,"ER42",2003
"149",1.94038619234,NA,"ER42",2004
"150",2.35963855111,NA,"ER42",2005
"151",NA,NA,"ER42",2006
"152",0.183734702268,NA,"ER42",2007
"153",0.00689645531682,NA,"ER42",2008
"154",NA,NA,"ER42",2009
"155",NA,NA,"ER42",2010
"156",1.17806853572,NA,"ER42",2011
"157",NA,NA,"ER42",2012
"158",NA,NA,"ER42",2013
"159",0.00648786796565,4.20261944231,"ER43",1998
"160",0.788643663691,NA,"ER43",1999
"161",0.00649206800409,0.634512370336,"ER43",2000
"162",0.0172825640303,NA,"ER43",2002
"163",NA,NA,"ER43",2003
"164",5.69908152494,NA,"ER43",2004
"165",0.427899810482,NA,"ER43",2005
"166",NA,NA,"ER43",2006
"167",1.31658336504,NA,"ER43",2007
"168",NA,NA,"ER43",2008
"169",NA,NA,"ER43",2009
"170",NA,NA,"ER43",2010
"171",0.0609890825486,NA,"ER43",2011
"172",NA,NA,"ER43",2012
"173",NA,NA,"ER43",2013
"174",NA,NA,"ER58",1998
"175",0.000200000000007,NA,"ER58",1999
"176",NA,NA,"ER58",2000
"177",NA,NA,"ER58",2001
"178",NA,NA,"ER58",2002
"179",NA,NA,"ER58",2003
"180",NA,NA,"ER58",2004
"181",NA,NA,"ER58",2005
"182",NA,NA,"ER58",2006
"183",NA,NA,"ER58",2007
"184",NA,NA,"ER58",2008
"185",NA,NA,"ER58",2009
"186",NA,NA,"ER58",2010
"187",NA,NA,"ER58",2011
"188",NA,NA,"ER58",2012
"189",NA,NA,"ER58",2013
"190",NA,NA,"ER59",1998
"191",0.0104,NA,"ER59",2000
"192",NA,NA,"ER59",2001
"193",NA,NA,"ER59",2002
"194",NA,NA,"ER59",2003
"195",NA,NA,"ER59",2004
"196",NA,NA,"ER59",2005
"197",NA,NA,"ER59",2006
"198",NA,NA,"ER59",2007
"199",NA,NA,"ER59",2008
"200",NA,NA,"ER59",2009
"201",NA,NA,"ER59",2010
"202",NA,NA,"ER59",2011
"203",NA,NA,"ER59",2012
"204",NA,NA,"ER59",2013
"205",NA,NA,"ER60",1998
"206",0.0016,NA,"ER60",2000
"207",NA,NA,"ER60",2001
"208",NA,NA,"ER60",2002
"209",NA,NA,"ER60",2003
"210",NA,NA,"ER60",2004
"211",NA,NA,"ER60",2005
"212",NA,NA,"ER60",2006
"213",NA,NA,"ER60",2007
"214",NA,NA,"ER60",2008
"215",NA,NA,"ER60",2009
"216",NA,NA,"ER60",2010
"217",NA,NA,"ER60",2011
"218",NA,NA,"ER60",2012
"219",NA,NA,"ER60",2013
"220",NA,NA,"ER61",1998
"221",NA,NA,"ER61",2000
"222",NA,NA,"ER61",2001
"223",NA,NA,"ER61",2002
"224",NA,NA,"ER61",2003
"225",NA,NA,"ER61",2004
"226",NA,NA,"ER61",2005
"227",NA,NA,"ER61",2006
"228",NA,NA,"ER61",2007
"229",NA,NA,"ER61",2008
"230",NA,NA,"ER61",2009
"231",NA,NA,"ER61",2010
"232",NA,NA,"ER61",2011
"233",NA,NA,"ER61",2012
"234",NA,NA,"ER61",2013
"235",0.117342856236,0.0323295941546,"ER63",1998
"236",0.0634783378413,NA,"ER63",1999
"237",0.21774136271,NA,"ER63",2000
"238",0.344407463915,0.869060229073,"ER63",2001
"239",0.1285625,0.0435625,"ER63",2002
"240",0.257660176772,NA,"ER63",2003
"241",0.24287490392,NA,"ER63",2004
"242",0.288047251922,NA,"ER63",2005
"243",0.0987002196096,NA,"ER63",2006
"244",0.0103758152722,NA,"ER63",2007
"245",NA,NA,"ER63",2008
"246",NA,NA,"ER63",2009
"247",NA,NA,"ER63",2010
"248",0.0505218978573,NA,"ER63",2011
"249",NA,NA,"ER63",2012
"250",NA,NA,"ER63",2013
"251",0.0545488329701,0.026184262274,"ER73",1998
"252",0.0674724197538,NA,"ER73",1999
"253",0.00245606601717,2.78670353544,"ER73",2000
"254",0.146140421292,3.38208061434,"ER73",2001
"255",0.22665,NA,"ER73",2002
"256",NA,NA,"ER73",2003
"257",3.0115033354,NA,"ER73",2004
"258",0.420446325624,NA,"ER73",2005
"259",0.634187629368,NA,"ER73",2006
"260",0.522514780154,NA,"ER73",2007
"261",0.0527178965125,NA,"ER73",2008
"262",NA,NA,"ER73",2009
"263",NA,NA,"ER73",2010
"264",0.377950682565,NA,"ER73",2011
"265",NA,NA,"ER73",2012
"266",NA,NA,"ER73",2013
"267",0.0636410642225,5.60051898891,"ER78",1998
"268",0.0162180194847,NA,"ER78",1999
"269",0.00863883476482,0.149862806691,"ER78",2000
"270",0.169735666517,6.16197391373,"ER78",2001
"271",0.1366125,NA,"ER78",2002
"272",NA,NA,"ER78",2003
"273",0.294625283169,7.15257826895,"ER78",2004
"274",0.335696371477,4.13989972668,"ER78",2005
"275",0.479170042146,0.794119942709,"ER78",2006
"276",0.894695897251,NA,"ER78",2007
"277",0.0039136440431,NA,"ER78",2008
"278",0.762681537891,NA,"ER78",2009
"279",NA,NA,"ER78",2010
"280",0.0171388636016,0.899282415234,"ER78",2011
"281",NA,NA,"ER78",2012
"282",NA,NA,"ER78",2013
"283",NA,NA,"ER91",1998
"284",NA,NA,"ER91",1999
"285",NA,NA,"ER91",2000
"286",NA,NA,"ER91",2001
"287",NA,NA,"ER91",2002
"288",NA,NA,"ER91",2003
"289",NA,NA,"ER91",2004
"290",NA,NA,"ER91",2005
"291",NA,NA,"ER91",2006
"292",NA,NA,"ER91",2007
"293",NA,NA,"ER91",2008
"294",NA,NA,"ER91",2009
"295",NA,NA,"ER91",2010
"296",NA,NA,"ER91",2011
"297",NA,NA,"ER91",2012
"298",NA,NA,"ER91",2013
"299",NA,NA,"ER92",1998
"300",0.002,NA,"ER92",1999
"301",NA,NA,"ER92",2000
"302",NA,NA,"ER92",2001
"303",0.00630000000001,NA,"ER92",2002
"304",NA,NA,"ER92",2003
"305",NA,NA,"ER92",2004
"306",NA,NA,"ER92",2005
"307",NA,NA,"ER92",2006
"308",NA,NA,"ER92",2007
"309",NA,NA,"ER92",2008
"310",NA,NA,"ER92",2009
"311",NA,NA,"ER92",2010
"312",NA,NA,"ER92",2011
"313",NA,NA,"ER92",2012
"314",NA,NA,"ER92",2013
"315",NA,NA,"ER93",1998
"316",NA,NA,"ER93",1999
"317",NA,NA,"ER93",2001
"318",NA,NA,"ER93",2002
"319",NA,NA,"ER93",2003
"320",NA,NA,"ER93",2004
"321",NA,NA,"ER93",2005
"322",NA,NA,"ER93",2006
"323",NA,NA,"ER93",2007
"324",NA,NA,"ER93",2008
"325",NA,NA,"ER93",2009
"326",NA,NA,"ER93",2010
"327",NA,NA,"ER93",2011
"328",NA,NA,"ER93",2012
"329",NA,NA,"ER93",2013
"330",NA,NA,"ER95",1999
"331",NA,NA,"ER95",2000
"332",NA,NA,"ER95",2001
"333",NA,NA,"ER95",2002
"334",NA,NA,"ER95",2003
"335",NA,NA,"ER95",2004
"336",NA,NA,"ER95",2005
"337",NA,NA,"ER95",2006
"338",NA,NA,"ER95",2007
"339",NA,NA,"ER95",2008
"340",NA,NA,"ER95",2009
"341",NA,NA,"ER95",2010
"342",NA,NA,"ER95",2011
"343",NA,NA,"ER95",2012
"344",NA,NA,"ER95",2013
"345",0.0435143525186,0.0956225460196,"HU06",1998
"346",0.100756244584,0.386325431099,"HU06",1999
"347",0.000736916485067,0.337183686963,"HU06",2000
"348",NA,0.0649511453661,"HU06",2001
"349",NA,0.02405,"HU06",2002
"350",0.690546086847,NA,"HU06",2003
"351",0.14127639527,NA,"HU06",2004
"352",0.255564938888,NA,"HU06",2005
"353",2.9543809422,NA,"HU06",2006
"354",NA,NA,"HU06",2007
"355",NA,NA,"HU06",2008
"356",NA,NA,"HU06",2009
"357",NA,NA,"HU06",2010
"358",NA,NA,"HU06",2011
"359",NA,NA,"HU06",2012
"360",NA,NA,"HU06",2013
"361",0.00314423881554,0.324760303038,"HU09",1998
"362",0.00405199224456,0.0139467514421,"HU09",1999
"363",-0.000575735931278,0.0378896446609,"HU09",2000
"364",NA,0.0287737436867,"HU09",2001
"365",NA,0.030425,"HU09",2002
"366",0.389012800346,NA,"HU09",2003
"367",0.223793004166,NA,"HU09",2004
"368",0.103120262521,NA,"HU09",2005
"369",0.235119585853,NA,"HU09",2006
"370",NA,NA,"HU09",2007
"371",NA,NA,"HU09",2008
"372",NA,NA,"HU09",2009
"373",NA,NA,"HU09",2010
"374",NA,NA,"HU09",2011
"375",NA,NA,"HU09",2012
"376",NA,NA,"HU09",2013
"377",0.00505836309449,0.171239986476,"HU12",1998
"378",0.0056540737726,0.050051040764,"HU12",1999
"379",0.00293483495703,0.0883027281759,"HU12",2000
"380",NA,0.0710592775926,"HU12",2001
"381",NA,0.0274293001538,"HU12",2002
"382",0.211472552365,NA,"HU12",2003
"383",0.640246973337,NA,"HU12",2004
"384",0.0268936655113,NA,"HU12",2005
"385",0.206807641846,NA,"HU12",2006
"386",NA,NA,"HU12",2007
"387",0.0381132163386,NA,"HU12",2008
"388",NA,NA,"HU12",2009
"389",NA,NA,"HU12",2010
"390",NA,NA,"HU12",2011
"391",NA,NA,"HU12",2012
"392",NA,NA,"HU12",2013
"393",0.152175840533,0.222203464107,"HU15",1998
"394",0.00510199224459,0.0334687184335,"HU15",1999
"395",-0.00831572875254,0.00999046987566,"HU15",2000
"396",0.115547933791,0.153185980323,"HU15",2001
"397",0.01605,0.5404,"HU15",2002
"398",0.391491213241,NA,"HU15",2003
"399",0.114224390335,0.263910392321,"HU15",2004
