"","Station","Lat","Long","LEP","UHY","maxDepth","minDepth","springBottomTemp","springMaxSurfaceTemp","springSum_10","springSum_15","springSum_20","springSum_5","springSum_LEP","springSum_UHY","springSum_bottom","springSurfaceTemp","springTemperature_meanLEP","springTemperature_meanUHY","springUHYTemp","summerBottomTemp","summerMaxSurfaceTemp","summerSum_10","summerSum_15","summerSum_20","summerSum_5","summerSum_LEP","summerSum_UHY","summerSum_bottom","summerSurfaceTemp","summerTemperature_meanLEP","summerTemperature_meanUHY","summerUHYTemp","year"
"1","SU01",46.993,-85.161,12.25,19.5,83.75,3,0.881643462865,0.884154960836,25.6104052554,43.2556190566,60.8958857345,7.93884720704,33.5582913346,59.132401002,286.062367129,0.883112929859,41.4937190461,119.968924969,0.881643462865,5.01963623603,10.512496821,279.783366362,438.774733729,553.465493574,92.4116641247,356.482330603,543.611748274,1578.71070795,9.38111396325,425.185965129,841.239637226,5.01963623603,1996
"2","SU01",46.993,-85.161,10.25,33,83.75,3,1.30746244208,1.28385070346,37.0101634204,62.6521097332,88.4480495093,11.4995195014,38.2930998848,155.997840534,423.165387412,1.27643666283,60.0822088021,175.643473697,1.30746244208,4.4885644476,12.3636425914,358.46488295,576.884437922,717.202289956,111.237726862,370.775700229,983.517033529,1828.9656569,12.3591900076,559.505924711,1050.52062735,4.4885644476,1997
"3","SU01",46.993,-85.161,12.75,40.5,83.75,3,3.71499544151,3.71071569583,107.492500794,181.704063314,255.95217133,33.3756916545,148.301165531,560.500467307,1202.14870722,3.70752913828,174.279818815,504.766639327,3.71499544151,5.06251554225,18.8655645284,535.309264406,864.376392485,1058.50687594,169.77680699,727.674232212,1545.63057825,2322.97918504,18.1918558053,837.574288373,1468.362078,5.06251554225,1998
"4","SU01",46.993,-85.161,8.75,25.5,83.75,3,2.40296437395,2.46105340078,70.3736610071,119.434193096,168.08863149,21.9776491391,58.1803900886,220.948522818,786.616942772,2.42418292036,114.518010437,330.529033934,2.40296437395,5.18950944243,16.390691543,461.415905758,746.446679997,975.771585781,146.523663667,383.917160329,1109.96033534,2064.59160268,15.996548347,719.476803796,1318.42548473,5.18950944243,1999
"5","SU01",46.993,-85.161,22.25,37.5,83.75,3,2.36831715978,2.37288020888,68.4329626611,115.735933364,163.084681013,21.2313201665,184.432592022,328.85750416,767.976004481,2.36452041054,110.995088423,321.754872291,2.36831715978,5.43421413828,14.8841735429,431.314696761,727.722059718,1021.05409425,133.984694976,1151.13558599,1682.08471073,2497.2633384,14.7581485383,698.166466495,1665.68657043,5.43421413828,2000
"6","SU01",46.993,-85.161,8.25,52.5,83.75,3,1.52117879474,1.53089992113,43.7258570788,73.7792220535,103.759672736,13.6637311279,33.2034749541,300.768314711,491.544754764,1.50924886155,70.7795670279,204.968897048,1.52117879474,4.88426468164,13.3067385107,382.532460854,611.329706458,782.342290066,119.743314734,292.13239564,1598.53383328,2147.26116951,13.2787452564,590.45161432,1239.32212045,4.88426468164,2001
"7","SU01",46.993,-85.161,9.25,32.5,83.75,3,1.91679874369,1.89979933681,54.8904437073,92.8242496767,130.801966919,17.0480614723,49.2108508568,226.194115645,624.265058872,1.89272503295,89.0269960917,258.887591065,1.91679874369,4.65008517677,14.2539097495,396.943430295,624.9944797,796.222736963,126.976892484,357.769028215,1085.17178917,1932.99661504,13.760347239,605.189151356,1161.16283823,4.65008517677,2002
"8","SU01",46.993,-85.161,5.75,26,83.75,3,0.639853661165,0.662508336039,19.0354547112,32.2019864277,45.4492835248,5.95656123444,7.93032141504,61.2144447684,208.216263505,0.66086011792,30.8746556757,88.7104232995,0.639853661165,5.1243609127,14.7939557384,411.090422739,582.262417476,714.302347813,132.623610807,176.996073998,848.001404951,1872.08414126,14.7496728332,567.443752857,1057.66170064,5.1243609127,2003
"9","SU01",46.993,-85.161,17.75,33,83.75,3,1.24670062816,1.26992364384,36.7400780053,61.9901500485,86.9587546889,11.3906175476,75.7527797019,151.889532973,405.811180914,1.26254632837,59.4625593092,170.601201884,1.24670062816,4.83024993555,11.1927680447,306.901582208,501.966461993,675.261988752,100.296972577,600.995039533,1016.99949631,1878.97328726,10.0165839922,483.174382577,1086.59771072,4.83024993555,2004
"10","SU01",46.993,-85.161,20.25,41,83.75,3,1.38288448122,1.43232152413,41.1253277218,69.4086573477,97.7638119157,12.7374893935,99.1748054125,213.84932018,450.579132289,1.41678293446,66.5535771097,190.356725839,1.38288448122,4.68340738703,17.5295151318,508.137794207,858.131380824,1207.48190316,157.765565426,1224.91026231,1841.54070312,2544.9916798,17.498718033,823.159989811,1757.65811323,4.68340738703,2005
"11","SU01",46.993,-85.161,10.25,31.5,83.75,3,2.06772822199,2.06670159937,59.7152604386,100.838888953,141.985374676,18.572405777,61.7715112639,236.725980909,671.238160376,2.05905037546,96.7263187913,280.205050116,2.06772822199,4.77142248057,16.9895967231,487.692016568,793.459115365,1026.49681551,152.352833726,504.459098772,1297.91245945,2188.72836211,16.8153032924,765.446458444,1395.0357262,4.77142248057,2006
"12","SU01",46.993,-85.161,17.75,36,83.75,3,1.17634752104,1.14787392165,33.1532293168,55.877948312,78.7171129581,10.3286553528,68.3951533784,152.460196018,391.828585652,1.13991922297,53.6056583086,155.990520945,1.17634752104,5.8481784817,14.1626218577,408.661637354,688.470185241,965.308629565,127.343880898,841.840547233,1490.93366422,2361.26099077,14.0306757872,660.536862355,1508.34007873,5.8481784817,2007
"13","SU01",46.993,-85.161,11.75,28,83.75,3,1.71822601364,1.75232108623,49.14594057,83.2054981566,117.339270849,15.4598089784,61.0538110642,172.229905714,557.944117611,1.69593919623,79.7974388458,232.327101196,1.71822601364,5.01326522345,15.8991229453,460.954129646,714.308571759,843.156509512,143.037678043,571.424322476,1017.75207669,1948.78808084,15.8728978466,699.512556652,1183.55313,5.01326522345,2008
"14","SU01",46.993,-85.161,13.25,57.5,83.75,3,1.03905450752,1.03430233159,29.1867620007,49.2136148518,69.2106149069,9.17005634303,42.2027574613,221.753978118,334.485486298,1.0048275586,47.2100944417,136.536333651,1.03905450752,4.37884694467,14.2755953159,413.167818844,693.556123115,935.362101623,128.411879905,597.111363738,1801.28323681,2228.93417498,14.2169372319,666.284581641,1372.74632056,4.37884694467,2009
"15","SU01",46.993,-85.161,33.75,62.5,83.75,3,2.54129601614,2.53918735942,73.5919713648,124.238354571,174.757451312,22.8661052375,313.608167173,605.776969946,821.716738425,2.52909812236,119.182673529,344.088315068,2.54129601614,4.53655851564,17.3638774961,503.306727375,850.575366223,1197.84300087,156.100815151,2152.29221684,3065.69182406,3418.63248938,17.3571952971,815.848976084,2343.668153,4.53655851564,2010
"16","SU01",46.993,-85.161,NA,36,83.75,3,1.50072988691,1.4926095623,43.2785217612,73.090757927,102.958251113,13.4559262238,NA,198.745255582,500.62141798,1.4926095623,70.1079776716,203.247576406,1.50072988691,4.18301302531,15.2678126975,409.782817436,605.116203449,747.17257579,135.442478178,NA,1074.08031906,1839.3679508,15.2678126975,588.482688407,1086.54458972,4.18301302531,2011
"17","SU01",46.993,-85.161,22.25,46.5,83.75,3,2.67937648251,2.70700170426,78.2391204178,132.342638015,186.346462966,24.1679026888,210.582221277,471.013857294,868.442181896,2.69977206765,126.936594794,366.45116393,2.67937648251,4.66970705735,15.0860211226,437.375030602,738.639118956,1033.15994647,135.7004687,1163.1317952,1840.41390006,2481.82723819,14.9119460922,708.639204563,1645.56795736,4.66970705735,2012
"18","SU01",46.993,-85.161,10.75,24.5,83.75,3,0.965495683735,1.0347470048,28.2331164805,47.5410417402,66.8439529393,8.95395796587,31.128134259,84.215929565,319.70252055,0.972754195594,45.6103572756,131.660425177,0.965495683735,5.0769889193,13.6908652831,388.166632608,611.272810901,747.636571355,122.501428813,427.233276562,848.311416085,1819.51339221,13.3510398926,593.246279416,1073.88933903,5.0769889193,2013
"19","SU02",47.361,-85.621,11.75,32,143.75,3,0.8964470373,0.885485376185,25.4176757359,43.0469289025,60.8479167335,7.94721060809,31.5141286667,103.643176902,572.538703516,0.875392462964,35.9042559433,89.3430659428,0.8964470373,4.45095518692,10.889200076,303.659196443,474.209240941,596.318259257,97.4536549765,372.390173251,830.890295945,2588.87191566,10.3441714792,415.278490347,757.916806268,4.45095518692,1996
"20","SU02",47.361,-85.621,11.75,30.5,143.75,3,1.13327222718,1.14213199107,33.0426299096,55.7809613491,78.532089923,10.2579216735,41.0071113181,126.210106487,756.938391639,1.1390864255,46.6931160707,114.857589847,1.13327222718,4.38321116365,12.3967495843,353.939570169,570.511585931,726.903855654,111.184623152,437.235200741,958.947423471,2707.35400647,12.1454222428,492.773528909,913.970976908,4.38321116365,1997
"21","SU02",47.361,-85.621,13.75,29,143.75,3,3.22927013795,3.26614507696,94.6943145025,159.978238969,224.988128081,29.3891653834,143.66392492,341.377259359,1823.54693962,3.26508920272,133.867614345,328.459024663,3.22927013795,4.9236591545,19.6632134166,547.71299338,901.100274922,1111.16980883,174.563487129,817.099858345,1318.97217248,3176.75288705,18.570451326,764.513172159,1299.09282823,4.9236591545,1998
"22","SU02",47.361,-85.621,16.75,29,143.75,3,2.35733416625,2.40659481832,68.7917957443,116.783767865,164.496114328,21.0215637802,133.511930667,249.625252404,1317.01185581,2.38414161906,97.5350329533,240.17196576,2.35733416625,4.61735845396,15.3982803532,440.931395712,740.279232539,1016.6123798,138.214139818,842.551259231,1254.46342945,3037.55576433,15.0455582006,621.379905743,1235.73838932,4.61735845396,1999
"23","SU02",47.361,-85.621,15.75,23,143.75,3,2.33129870716,2.34916174953,67.8825137865,114.538249488,161.152898638,21.1228235846,121.534639542,189.12313475,1321.58923438,2.33720460658,95.8759562209,235.748857487,2.33129870716,5.16665794328,15.2652065368,442.162347538,744.413030281,962.726839228,137.384676189,788.761570708,1029.03669746,2978.60702652,15.1684917444,624.027035053,1126.43074133,5.16665794328,2000
"24","SU02",47.361,-85.621,9.25,19,143.75,3,1.44434793452,1.43232959341,41.5010133078,70.2404991274,99.1258676179,12.8798723215,37.2063646698,93.3478749038,826.776975884,1.43101402576,58.6927883962,145.333442939,1.44434793452,4.98840962099,14.1863379442,400.754613695,590.207311603,695.769455895,127.676487944,362.265549793,676.078266387,2686.87177134,13.9332903766,535.397735948,847.567599854,4.98840962099,2001
"25","SU02",47.361,-85.621,NA,37,143.75,3,1.97638535534,1.94115814755,56.3832035107,95.3801056442,134.52999478,17.4512588165,NA,268.553441053,1140.97135641,1.94115814755,79.7634965879,197.530293772,1.97638535534,4.06246454613,13.9190555979,377.92424306,606.286764119,813.101983488,124.276600274,NA,1223.37102037,2861.035198,13.9190555979,516.870475511,1060.3374635,4.06246454613,2002
"26","SU02",47.361,-85.621,13.75,22.5,143.75,3,0.666914016504,0.693736334576,19.5695006135,32.9345211941,46.2750412004,6.17782948096,29.5952015018,52.9431832499,541.943879434,0.672618215951,27.5905617271,67.614202314,0.666914016504,5.24088431775,14.0418588801,402.01459698,670.917112331,827.660868897,126.352374153,606.631391429,883.871543145,2822.27958284,13.7870770779,565.912212491,992.600282356,5.24088431775,2003
"27","SU02",47.361,-85.621,7.25,20.5,143.75,3,1.45368661165,1.45807215228,42.2521668971,71.3666059898,100.478656456,13.1203496859,26.2382323223,103.386412446,987.246867733,1.45767957346,59.7303019607,147.054290717,1.45368661165,4.1750438447,12.1245623612,346.190504739,489.123101804,579.869240911,109.093715317,218.132669094,588.235731481,2481.90831028,12.1184816163,443.076559758,709.949765568,4.1750438447,2004
"28","SU02",47.361,-85.621,12.25,29,143.75,3,1.5698531083,1.59533281561,45.9294264266,77.4535615837,108.779274546,14.3101136405,60.1225293265,165.306929944,1049.43008828,1.58217182438,64.856762965,159.020291323,1.5698531083,4.86023849704,15.2270552655,440.944931329,729.316121086,921.92478125,136.622756475,577.286764644,1151.86009927,2978.58825064,15.1917569643,622.077610597,1131.98166284,4.86023849704,2005
"29","SU02",47.361,-85.621,12.75,39.5,143.75,3,2.08454574085,2.03260920872,58.8519093547,99.4262213201,140.168870465,18.25931248,81.1711091086,301.171958488,1182.04524666,2.02927772772,83.1992036354,205.902961096,2.08454574085,4.13784095892,15.1656352135,439.115470718,739.31805559,1010.54572998,136.442205706,605.191662178,1474.34121797,3089.23959664,15.1297915545,620.243160999,1262.69284205,4.13784095892,2006
"30","SU02",47.361,-85.621,15.25,33.5,143.75,3,1.42365621936,1.41771605766,40.9436887368,69.1776176163,97.4494361633,12.6651224344,70.5900671702,174.001724527,975.236165854,1.4118013434,57.8834691914,142.754931179,1.42365621936,5.38526253795,12.3220625998,356.277366351,598.988951931,823.726663468,110.866929729,611.014317362,1216.06085189,3014.43267559,12.2202863472,502.264420449,1085.842399,5.38526253795,2007
"31","SU02",47.361,-85.621,12.75,20.5,143.75,3,1.47643474101,1.45115860153,40.1865941518,69.2440546809,98.5978389687,12.4590645825,56.1135066501,101.550043333,891.456771805,1.40283766625,57.569469122,145.984542196,1.47643474101,4.67927580329,14.2142382819,411.970738479,673.721003386,781.498620837,127.900439739,568.031891279,790.881498959,2749.43166206,14.200797282,582.131059664,925.753961034,4.67927580329,2008
"32","SU02",47.361,-85.621,14.75,35.5,143.75,3,0.851294129035,0.853553049608,24.5104892946,41.5530889857,58.674581935,7.59958947201,40.6979259636,111.654290932,719.569349469,0.847873457574,34.7230198842,86.05336272,0.851294129035,4.92703876305,13.0132065467,377.320368002,636.813320035,841.421786814,117.070687561,623.987914358,1239.02067499,2954.76176062,12.9997482158,533.349051953,1069.76841704,4.92703876305,2009
"33","SU02",47.361,-85.621,16.75,33.5,143.75,3,2.51303782033,2.51219915505,72.777055805,123.015214676,173.25123377,22.5589823538,140.595956439,308.942893094,1421.15387214,2.51064207927,102.918853582,253.6626292,2.51303782033,5.17147632327,16.4129648952,474.802877315,802.038156237,1080.50726287,147.564757661,916.270258687,1449.09280458,3212.55367497,16.3619689051,671.140523641,1322.27631854,5.17147632327,2010
"34","SU02",47.361,-85.621,9.75,23.5,143.75,3,1.17882159047,1.181662143,34.1893019101,57.7705862242,81.3447720856,10.6154652203,33.0102207521,97.841677239,870.748368534,1.17893645543,48.3376404399,119.06120298,1.17882159047,4.40063135632,15.6217806272,444.531489736,661.825993586,779.97726104,140.447566948,429.955580137,846.214980044,2699.70467645,15.3555564335,595.118203328,922.692249686,4.40063135632,2011
"35","SU02",47.361,-85.621,21.75,28.5,143.75,3,2.76644409183,2.76784137759,78.9658582606,134.28378697,189.63182044,24.152118447,209.003953079,283.705546376,1559.97996754,2.7500520142,112.165879856,278.172611773,2.76644409183,5.54305056989,16.2722644933,471.77018378,797.171265142,1122.59754401,146.42244521,1236.18062854,1507.08934362,3355.3305865,16.2655345861,667.012437359,1495.938656,5.54305056989,2012
