"","p","alpha.year"
"SU01",0.111519036339121,22.3864299455578
"SU02",0.149684724396843,10.521664499531
"SU03",0.0373594004024322,27.3424809203991
"SU04",0.269325983897493,9.73036805699505
"SU05",0.100940964944847,24.8739422127533
"SU06",0.687900479753502,-7.09431035545601
"SU07",0.103067514932171,13.7858338991392
"SU08",0.760083178011032,3.14651561155343
"SU09",0.0260949145428608,14.9120533074172
"SU10",0.0210985537507913,29.81592660859
"SU11",0.038723136691188,12.0157833802064
"SU12",0.360405517722382,5.75981833244107
"SU13",0.109322140075513,14.6679817231976
"SU14",0.980255938050892,-0.230188622004603
"SU15",0.683878000805738,-5.45447303561132
"SU16",0.0378887182734323,12.0554860478332
"SU17",0.234361930327148,8.25710854810156
"SU18",0.444091742874669,-4.75980829751892
"SU19",0.478971069200584,-4.85203535294801
